ExpectingGuests,FamilyHome,SoundSensor,LightSensor,HearableBarking,Battery,SoundSensorHealth,LightSensorHealth,DogBarking,DogOutside,OutdoorLight,DogBowelTrouble
No,No,N/A,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,N/A,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
Yes,Yes,On,On,N/A,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,N/A,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,Off,Off,No,OK,OK,OK,N/A,Yes,N/A,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,Off,On,No,OK,N/A,OK,No,Yes,On,Yes
Yes,Yes,Off,On,No,OK,N/A,OK,Yes,N/A,On,Yes
No,Yes,Off,N/A,Yes,OK,Broken,OK,Yes,Yes,Off,Yes
No,Yes,Off,N/A,No,OK,OK,OK,N/A,No,Off,No
No,No,On,On,Yes,OK,N/A,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
Yes,Yes,Off,On,No,OK,OK,N/A,No,N/A,On,Yes
No,No,N/A,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,N/A,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,Broken,OK,No,Yes,On,No
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,N/A
No,No,Off,On,No,OK,Broken,OK,No,Yes,On,Yes
No,Yes,On,Off,N/A,OK,OK,OK,Yes,Yes,Off,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,N/A,On,No,OK,OK,OK,No,Yes,On,No
No,Yes,Off,Off,No,OK,OK,OK,No,Yes,Off,N/A
No,N/A,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,Off,On,No,N/A,OK,OK,No,Yes,On,No
No,No,On,On,Yes,OK,OK,OK,N/A,N/A,N/A,Yes
No,No,On,On,Yes,OK,Broken,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,Off,On,No,OK,OK,OK,No,Yes,On,N/A
No,No,Off,On,N/A,OK,OK,OK,Yes,No,On,No
No,No,On,On,Yes,OK,OK,OK,Yes,N/A,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,N/A,Yes,Yes,N/A,Yes
Yes,Yes,Off,On,No,OK,OK,OK,No,No,On,No
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,Off,On,No,OK,Broken,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,Off,Off,No,OK,OK,OK,No,Yes,Off,No
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,N/A,On,No,OK,OK,OK,N/A,No,On,No
N/A,No,Off,N/A,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,N/A,On,Yes
Yes,Yes,On,On,Yes,OK,N/A,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,N/A,Off,On,No,OK,OK,OK,N/A,Yes,On,Yes
N/A,Yes,Off,On,No,OK,OK,OK,No,No,On,Yes
Yes,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,N/A,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,N/A,On,Yes
No,No,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,Off,On,No,OK,OK,OK,No,Yes,On,No
No,N/A,On,On,Yes,OK,OK,N/A,Yes,Yes,On,Yes
No,No,Off,On,N/A,OK,OK,OK,No,Yes,On,Yes
N/A,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,Yes,No,On,Yes
No,No,N/A,On,No,OK,OK,OK,No,Yes,On,Yes
No,Yes,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,On,On,Yes,OK,Broken,OK,Yes,Yes,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,On,On,Yes,OK,N/A,OK,N/A,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,N/A,On,No
No,No,N/A,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,Off,On,No,OK,OK,OK,No,No,On,Yes
No,No,Off,On,No,OK,N/A,OK,No,No,On,Yes
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
Yes,N/A,Off,Off,No,OK,OK,Broken,Yes,N/A,On,No
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,Yes,Off,On,No,OK,OK,OK,Yes,No,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,N/A
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,No,On,N/A
Yes,Yes,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,N/A,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
Yes,Yes,On,N/A,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,Yes,Off,On,No,OK,OK,OK,Yes,No,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
Yes,Yes,Off,On,No,OK,OK,OK,Yes,No,On,No
No,No,Off,On,No,OK,OK,OK,No,No,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,N/A,OK,Yes,Yes,On,Yes
No,No,N/A,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,N/A,On,Yes,OK,OK,OK,N/A,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,Yes,Off,Off,No,OK,OK,OK,No,N/A,Off,No
No,Yes,Off,Off,No,OK,OK,OK,N/A,No,Off,No
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,Off,On,Yes,OK,Broken,OK,Yes,Yes,On,Yes
No,No,N/A,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,Yes,On,Off,Yes,OK,OK,OK,Yes,Yes,Off,Yes
No,No,On,On,Yes,OK,OK,N/A,Yes,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,N/A,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,No,Off,On,No,OK,OK,OK,Yes,No,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,No
No,No,On,On,Yes,N/A,OK,OK,Yes,Yes,N/A,Yes
N/A,No,Off,Off,No,OK,OK,OK,No,Yes,Off,Yes
No,No,Off,On,No,OK,OK,OK,Yes,No,On,No
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,N/A,Yes
No,No,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,N/A,Off,On,No,OK,OK,OK,No,Yes,On,Yes
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
Yes,Yes,Off,On,No,OK,OK,N/A,No,No,On,No
No,No,On,On,Yes,OK,OK,OK,Yes,Yes,On,Yes
No,Yes,On,Off,Yes,OK,OK,N/A,Yes,Yes,Off,N/A
No,No,Off,On,N/A,OK,OK,OK,No,N/A,On,Yes
